ID,Variable,Categoria
BC28,Total_bankcard_high_credit_credit_limit,credit_utilization
AT28,Total_high_credit_credit_limit,credit_utilization
RT28,Total_retail_high_credit_credit_limit,credit_utilization
S040,Highest_retail_high_credit_credit_limit,credit_utilization
AT33,Total_current_balance_of_all_trades,credit_utilization
AT35,Average_current_balance_of_all_trades,credit_utilization
AT99,Total_current_balance_of_all_trades_excluding_mortgage,credit_utilization
BC32,Maximum_balance_owed_on_all_bankcard_accounts,credit_utilization
BC33,Total_balance_of_all_bankcard_accounts,credit_utilization
BC35,Average_current_balance_of_all_bankcard_accounts,credit_utilization
BC98,Total_open_to_buy_on_revolving_bankcards_includes_retail_and_gascards,credit_utilization
S043,Number_of_non_installment_trades_50_of_limit,credit_utilization
S046,Percent_of_active_trades_with_current_balance_balance_greater_than_0,credit_utilization
AT34,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_trades,credit_utilization
BC30,Percentage_of_all_bankcard_accounts_50_of_limit,credit_utilization
BC31,Percentage_of_all_bankcard_accounts_75_of_limit,credit_utilization
BC34,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_bankcard_accounts,credit_utilization
BC45,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_installment_accounts,credit_utilization
PF34,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_personal_finance_accounts,credit_utilization
RT34,Ratio_of_total_current_balance_to_high_credit_credit_limit_for_all_retail_trades,credit_utilization
CTE,CLIENTEID,otros
MES,MES_INFORMACION,otros
TAR,EVER30_12M,otros